date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:04:02	49613/49613	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jun%202018%2013:09:08%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/forms/wizard.html	D:/Modern/Template/demos.creative-tim.com/material-dashboard-pro/examples/forms/wizard.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
10:04:03	52617/52617	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jun%202018%2013:09:08%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/tables/regular.html	D:/Modern/Template/demos.creative-tim.com/material-dashboard-pro/examples/tables/regular.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
10:04:03	56778/56778	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jun%202018%2013:09:08%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/tables/extended.html	D:/Modern/Template/demos.creative-tim.com/material-dashboard-pro/examples/tables/extended.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
10:04:03	69960/69960	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jun%202018%2013:09:08%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/tables/datatables.net.html	D:/Modern/Template/demos.creative-tim.com/material-dashboard-pro/examples/tables/datatables.net.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
10:04:04	41991/41991	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jun%202018%2013:09:08%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/maps/google.html	D:/Modern/Template/demos.creative-tim.com/material-dashboard-pro/examples/maps/google.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
10:04:04	39571/39571	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jun%202018%2013:09:08%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/maps/fullscreen.html	D:/Modern/Template/demos.creative-tim.com/material-dashboard-pro/examples/maps/fullscreen.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
10:04:04	41176/41176	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jun%202018%2013:09:08%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/maps/vector.html	D:/Modern/Template/demos.creative-tim.com/material-dashboard-pro/examples/maps/vector.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
10:04:05	59038/59038	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jun%202018%2013:09:08%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/widgets.html	D:/Modern/Template/demos.creative-tim.com/material-dashboard-pro/examples/widgets.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
10:04:05	44758/44758	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jun%202018%2013:09:08%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/charts.html	D:/Modern/Template/demos.creative-tim.com/material-dashboard-pro/examples/charts.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
10:04:05	41068/41068	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jun%202018%2013:09:08%20GMT	https://demos.creative-tim.com/material-dashboard-pro/examples/calendar.html	D:/Modern/Template/demos.creative-tim.com/material-dashboard-pro/examples/calendar.html	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
10:04:06	3310/3310	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Jun%202018%2013:09:08%20GMT	https://demos.creative-tim.com/material-dashboard-pro/assets/img/flags/US.png	D:/Modern/Template/demos.creative-tim.com/material-dashboard-pro/assets/img/flags/US.png	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
10:04:06	3109/3109	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Jun%202018%2013:09:08%20GMT	https://demos.creative-tim.com/material-dashboard-pro/assets/img/flags/DE.png	D:/Modern/Template/demos.creative-tim.com/material-dashboard-pro/assets/img/flags/DE.png	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
10:04:06	3488/3488	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Jun%202018%2013:09:08%20GMT	https://demos.creative-tim.com/material-dashboard-pro/assets/img/flags/AU.png	D:/Modern/Template/demos.creative-tim.com/material-dashboard-pro/assets/img/flags/AU.png	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
10:04:07	3543/3543	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Jun%202018%2013:09:08%20GMT	https://demos.creative-tim.com/material-dashboard-pro/assets/img/flags/GB.png	D:/Modern/Template/demos.creative-tim.com/material-dashboard-pro/assets/img/flags/GB.png	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
10:04:07	3298/3298	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Jun%202018%2013:09:08%20GMT	https://demos.creative-tim.com/material-dashboard-pro/assets/img/flags/RO.png	D:/Modern/Template/demos.creative-tim.com/material-dashboard-pro/assets/img/flags/RO.png	(from https://demos.creative-tim.com/material-dashboard-pro/examples/dashboard.html)
